,title,venue,pages,year,type,access,doi
14064,Towards a Multi-fold Assessment Approach to Enrich the Virtualization of Collaborative Learning.,CISIS,935-940,2012,Conference and Workshop Papers,closed,10.1109/CISIS.2012.195
14065,Improving preference elicitation in a conversational recommender system with active learning strategies.,SAC,1375-1382,2021,Conference and Workshop Papers,closed,10.1145/3412841.3442013
14066,Letting Users Choose Recommender Algorithms: An Experimental Study.,RecSys,11-18,2015,Conference and Workshop Papers,closed,10.1145/2792838.2800195
14067,A problem-driven collaborative approach to eliciting requirements of internetwares.,Internetware,22,2010,Conference and Workshop Papers,closed,10.1145/2020723.2020745
14068,Global and Local Tensor Factorization for Multi-criteria Recommender System.,Patterns,100023,2020,Journal Articles,open,10.1016/J.PATTER.2020.100023
14069,A Recommender for Choosing Data Systems based on Application Profiling and Benchmarking.,SBBD,265-270,2021,Conference and Workshop Papers,closed,10.5753/SBBD.2021.17883
14070,Design and Evaluation of an HPC-based Expert System to speed-up Retail Data Analysis using Residual Networks Combined with Parallel Association Rule Mining and Scalable Recommenders.,MIPRO,248-253,2021,Conference and Workshop Papers,closed,10.23919/MIPRO52101.2021.9596796
14071,Towards Unified Conversational Recommender Systems via Knowledge-Enhanced Prompt Learning.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2206.09363
14072,Optimization of fuzzy similarity by genetic algorithm in user-based collaborative filtering recommender systems.,Expert Syst. J. Knowl. Eng.,,2022,Journal Articles,closed,10.1111/EXSY.12893
14073,Applying a post-processing strategy to consider the multiple interests of users of a Paper Recommender System.,SBSI,49:1-49:7,2021,Conference and Workshop Papers,closed,10.1145/3466933.3466985
14074,An effective collaborative filtering algorithm based on user preference clustering.,Appl. Intell.,230-240,2016,Journal Articles,closed,10.1007/S10489-015-0756-9
14075,Collaborative filtering using orthogonal nonnegative matrix tri-factorization.,Inf. Process. Manag.,368-379,2009,Journal Articles,closed,10.1016/J.IPM.2008.12.004
14076,Being Diverse is Not Enough: Rethinking Diversity Evaluation to Meet Challenges of News Recommender Systems.,UMAP,222-233,2022,Conference and Workshop Papers,closed,10.1145/3511047.3538030
14077,Federated Recommender Systems with Learning to Rank.,SEBD,71-82,2021,Conference and Workshop Papers,open,
14078,Using Approximately Coupled Tensor Factorization to Model Changing User Preferences for Movie Recommendations.,ICCAI,293-300,2022,Conference and Workshop Papers,closed,10.1145/3532213.3532257
14079,An Intelligent Context Aware Recommender System for Real-Estate.,MedPRAI,177-191,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-37548-5_14
14080,A collaborative approach to scaffold programming efficiency using spoken tutorials and its evaluation.,CollaborateCom,556-559,2012,Conference and Workshop Papers,closed,10.4108/ICST.COLLABORATECOM.2012.250466
14081,Improving Work Life Conditions via Portable Knowledge-Driven Recommender System (Discussion Paper).,SEBD,498-505,2021,Conference and Workshop Papers,open,
14082,Analysis of The Similarity of Individual Knowledge and The Comprehension of Partner's Representation during Collaborative Concept Mapping with Reciprocal Kit Build Approach.,IEICE Trans. Inf. Syst.,1722-1731,2020,Journal Articles,closed,10.1587/TRANSINF.2019EDP7305
14083,A Content Boosted Collaborative Filtering Approach for Movie Recommendation Based on Local & Global Similarity and Missing Data Prediction.,ISCIS,109-112,2010,Conference and Workshop Papers,closed,10.1007/978-90-481-9794-1_22
14084,Influence of tweets and diversification on serendipitous research paper recommender systems.,PeerJ Comput. Sci.,e273,2020,Journal Articles,open,10.7717/PEERJ-CS.273
14085,"KRAKEN: A Knowledge-Based Recommender System for Analysts, to Kick Exploration up a Notch.",SecITC,1-17,2021,Conference and Workshop Papers,closed,10.1007/978-3-031-17510-7_1
14086,An embedding and interactions learning approach for ID feature in deep recommender system.,Expert Syst. Appl.,118425,2022,Journal Articles,open,10.1016/J.ESWA.2022.118425
14087,An LSTM-based Intent Detector for Conversational Recommender Systems.,VTC Spring,1-5,2022,Conference and Workshop Papers,closed,10.1109/VTC2022-SPRING54318.2022.9860839
14088,Fast ANN for High-Quality Collaborative Filtering.,Comput. Graph. Forum,138-151,2016,Journal Articles,closed,10.1111/CGF.12715
14089,"Is the Impression Log Beneficial to Effective Model Training in News Recommender Systems? No, It's NOT.",WWW,61-64,2023,Conference and Workshop Papers,closed,10.1145/3543873.3587312
14090,A Genre-Based Item-Item Collaborative Filtering: Facing the Cold-Start Problem.,ICSCA,258-262,2019,Conference and Workshop Papers,closed,10.1145/3316615.3316732
14091,Recent Developments in Recommender Systems.,MIWAI,38-51,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-33709-4_4
14092,Recommendations for marathon runners: on the application of recommender systems and machine learning to support recreational marathon runners.,User Model. User Adapt. Interact.,787-838,2022,Journal Articles,open,10.1007/S11257-021-09299-3
14093,A recommender system to assist conceptual modeling with UML.,SEKE,327-333,2021,Conference and Workshop Papers,closed,10.18293/SEKE2021-039
14094,A GNN-based Recommender System to Assist the Specification of Metamodels and Models.,MoDELS,70-81,2021,Conference and Workshop Papers,closed,10.1109/MODELS50736.2021.00016
14095,Scholarly publication venue recommender systems.,Data Technol. Appl.,169-191,2020,Journal Articles,closed,10.1108/DTA-08-2019-0135
14096,Similarity Clustering of Music Files According to User Preference.,MICAI,182-192,2007,Conference and Workshop Papers,closed,10.1007/978-3-540-76631-5_18
14097,A Dynamic Recommender System as Reinforcement for Personalized Education by a Fuzzly Linguistic Web System.,ITQM,1143-1150,2015,Conference and Workshop Papers,open,10.1016/J.PROCS.2015.07.084
14098,A hybrid of sequential rules and collaborative filtering for product recommendation.,Inf. Sci.,3505-3519,2009,Journal Articles,closed,10.1016/J.INS.2009.06.004
14099,A collaborative Bluetooth-based approach to localization of mobile devices.,CollaborateCom,363-371,2012,Conference and Workshop Papers,closed,10.4108/ICST.COLLABORATECOM.2012.250437
14100,A collaborative and semantic-based approach for recommender systems.,ISDA,469-476,2010,Conference and Workshop Papers,closed,10.1109/ISDA.2010.5687221
14101,ActionRec: Towards Action-Aware Recommender Systems on the Web.,ISWC,,2021,Conference and Workshop Papers,open,
14102,Analysing supply chain risk management capabilities through collaborative and integrative approach.,Int. J. Bus. Process. Integr. Manag.,29-41,2020,Journal Articles,closed,10.1504/IJBPIM.2020.113111
14103,On the Impact of Location-related Terms in Neural Embeddings for Content Similarity Measures in Cultural Heritage Recommender Systems.,W2GIS,108-120,2022,Conference and Workshop Papers,closed,10.1007/978-3-031-06245-2_10
14104,Synthetic Data-Based Simulators for Recommender Systems: A Survey.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2206.11338
14105,Elliot: A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.,SIGIR,2405-2414,2021,Conference and Workshop Papers,closed,10.1145/3404835.3463245
14106,Re-ranking with multiple objective optimization in recommender system.,Trans. Emerg. Telecommun. Technol.,,2022,Journal Articles,closed,10.1002/ETT.4398
14107,A location history-aware recommender system for smart retail environments.,Pers. Ubiquitous Comput.,683-694,2020,Journal Articles,closed,10.1007/S00779-020-01374-7
14108,New Recommender Framework: Combining Semantic Similarity Fusion and Bicluster Collaborative Filtering.,Comput. Intell.,561-586,2016,Journal Articles,closed,10.1111/COIN.12066
14109,"Eliciting New Wikipedia Users' Interests via Automatically Mined Questionnaires: For a Warm Welcome, Not a Cold Start.",ICWSM,537-547,2019,Conference and Workshop Papers,open,
14110,A Live-User Evaluation of a Visual Module Recommender and Advisory System for Undergraduate Students.,SGAI Conf.,299-312,2021,Conference and Workshop Papers,closed,10.1007/978-3-030-91100-3_24
14111,A collaborative approach to situational awareness for cybersecurity.,CollaborateCom,216-222,2012,Conference and Workshop Papers,closed,10.4108/ICST.COLLABORATECOM.2012.250794
14112,ColdNAS: Search to Modulate for User Cold-Start Recommendation.,WWW,1021-1031,2023,Conference and Workshop Papers,closed,10.1145/3543507.3583344
14113,"AND: Effective Coupling of Accuracy, Novelty and Diversity in the Recommender System.",MSN,772-777,2021,Conference and Workshop Papers,closed,10.1109/MSN53354.2021.00121
14114,Evaluating ML Recommender Systems without Interactions Data.,SIGCSE,1381,2021,Conference and Workshop Papers,closed,10.1145/3408877.3439688
14115,Endowing third-party libraries recommender systems with explicit user feedback mechanisms.,SANER,817-821,2022,Conference and Workshop Papers,closed,10.1109/SANER53432.2022.00099
14116,Content-Based Health Recommender System for ICU Patient.,MIWAI,229-237,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-33709-4_20
14117,"Collaborative Framework for Detection, Prevention, and Traceback of Flooding Attacks Using Marking and Filtering.",Inf. Secur. J. A Glob. Perspect.,74-86,2009,Journal Articles,closed,10.1080/19393550802676071
14118,Multi-Step Critiquing User Interface for Recommender Systems.,RecSys,760-763,2021,Conference and Workshop Papers,closed,10.1145/3460231.3478886
14119,Recommender System in the Process of Scientific Peer Review in Mathematical Journal.,Russ. Digit. Libr. J.,708-732,2020,Journal Articles,open,
14120,Shilling Black-box Recommender Systems by Learning to Generate Fake User Profiles.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2206.11433
14121,Dual-collaborative DoS/DDoS mitigation approach in information-centric mobile Internet.,Int. J. Commun. Syst.,,2020,Journal Articles,closed,10.1002/DAC.4241
14122,How Will I Argue? A Dataset for Evaluating Recommender Systems for Argumentations.,SIGDIAL,360-367,2021,Conference and Workshop Papers,open,
14123,Supporting Collaborative Work in Socio-Physical Environments: A Normative Approach.,COOP,213-228,2012,Conference and Workshop Papers,closed,10.1007/978-1-4471-4093-1_15
14124,Predicting Correctness of Problem Solving in ITS with a Temporal Collaborative Filtering Approach.,Intelligent Tutoring Systems,15-24,2010,Conference and Workshop Papers,closed,10.1007/978-3-642-13388-6_6
14125,Exploring Customer Price Preference and Product Profit Role in Recommender Systems.,IEEE Intell. Syst.,89-98,2022,Journal Articles,closed,10.1109/MIS.2021.3092768
14126,Collaborative Filtering with Privacy.,S&P,45-57,2002,Conference and Workshop Papers,closed,10.1109/SECPRI.2002.1004361
14127,A Survey of Explainable E-Commerce Recommender Systems.,WI/IAT,723-730,2022,Conference and Workshop Papers,closed,10.1109/WI-IAT55865.2022.00115
14128,Weighted Neural Collaborative Filtering: Deep Implicit Recommendation with Weighted Positive and Negative Feedback.,SAC,1799-1808,2023,Conference and Workshop Papers,closed,10.1145/3555776.3577619
14129,Towards addressing item cold-start problem in collaborative filtering by embedding agglomerative clustering and FP-growth into the recommendation system.,Comput. Sci. Inf. Syst.,1343-1366,2023,Journal Articles,open,10.2298/CSIS221116052K
14130,ORSUM 2023 - 6th Workshop on Online Recommender Systems and User Modeling.,RecSys,1272-1273,2023,Conference and Workshop Papers,closed,10.1145/3604915.3608763
14131,A Recommender System Combining Social Networks for Tourist Attractions.,CICSyN,42-47,2013,Conference and Workshop Papers,closed,10.1109/CICSYN.2013.52
14132,An Architecture for a General Purpose Multi-Algorithm Recommender System.,PRSAT@RecSys,51-54,2010,Conference and Workshop Papers,open,
14133,CogTime_RMF: regularized matrix factorization with drifting cognition degree for collaborative filtering.,Clust. Comput.,821-835,2016,Journal Articles,closed,10.1007/S10586-016-0570-0
14134,Data Poisoning Attacks to Deep Learning Based Recommender Systems.,NDSS,,2021,Conference and Workshop Papers,open,
14135,A Guideline-Based Approach for Assisting with the Reproducibility of Experiments in Recommender Systems Evaluation.,Int. J. Artif. Intell. Tools,1960011:1-1960011:16,2019,Journal Articles,closed,10.1142/S021821301960011X
14136,Independent Game Developers and Their Expectations Towards Recommender Systems.,J. Data Intell.,301-318,2020,Journal Articles,closed,10.26421/JDI1.3-1
14137,Knowledge-Aware Graph Collaborative Filtering for Recommender Systems.,MSN,7-12,2019,Conference and Workshop Papers,closed,10.1109/MSN48538.2019.00016
14138,Personalized Voice Assignment Techniques for Synchronized Scenario Speech Output in Entertainment Systems.,HCI,177-186,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-22024-1_20
14139,Cold-Start Aware Deep Memory Network for Multi-Entity Aspect-Based Sentiment Analysis.,IJCAI,5197-5203,2019,Conference and Workshop Papers,open,10.24963/IJCAI.2019/722
